Id,Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
CC1604004_20161012_105024,0.2,0,9.951082229614258,26.941524505615234
CC1604004_20161012_105024,0.4,4.264286586224131e-4,9.95290470123291,32.277015686035156
CC1604004_20161012_105024,0.6,-1.313345772882002e-4,9.951992988586426,32.23011779785156
CC1604004_20161012_105024,0.8,0.0029224668230334316,9.948128700256348,32.1865348815918
CC1604004_20161012_105024,1,0.0023647035871228184,9.954856872558594,32.14060974121094
CC1604004_20161012_105024,1.2,8.198874337335127e-4,9.97377872467041,32.11238479614258
CC1604004_20161012_105024,1.4,0.002233369009834618,10.013772010803223,32.10218048095703
CC1604004_20161012_105024,1.6,0.0036449432373046875,10.062215805053711,31.823274612426758
CC1604004_20161012_105024,1.8,0.0014420918055950693,10.110858917236328,31.29967498779297
CC1604004_20161012_105024,2,5.572182791571123e-4,10.135562896728516,30.569103240966797
CC1604004_20161012_105024,2.2,-2.4523053845371123e-6,10.149256706237793,30.13597297668457
CC1604004_20161012_105024,2.4,0.0014100755964001621,10.14495849609375,29.89055633544922
CC1604004_20161012_105024,2.6,-0.009000097002301644,10.117002487182617,128.82711791992187
CC1604004_20161012_105024,2.8,-0.0020066670009075693,10.09443187713623,110.97113037109375
CC1604004_20161012_105024,3,3.910064697265625e-4,10.084054946899414,101.81703186035156
CC1604004_20161012_105024,3.2,-0.001480919974190087,10.089306831359863,76.862457275390625
CC1604004_20161012_105024,3.4,2.6062556675476856e-4,10.09349536895752,56.52430725097656
CC1604004_20161012_105024,3.6,-2.9904501778688086e-4,10.095473289489746,60.5479850769043
CC1604004_20161012_105024,3.8,-2.0068032400999414e-4,10.099908828735352,62.57661056518555
CC1604004_20161012_105024,4,0.0012118475777764814,10.101356506347656,62.41444396972656
CC1604004_20161012_105024,4.2,-0.0013171604701458506,10.102020263671875,61.41910171508789
CC1604004_20161012_105024,4.4,-0.00056362152099609375,10.096250534057617,60.29924774169922
CC1604004_20161012_105024,4.6,5.217960902630381e-4,10.086645126342773,59.095306396484375
CC1604004_20161012_105024,4.8,-3.5967145647575194e-5,10.076923370361328,58.133453369140625
CC1604004_20161012_105024,5,-5.956377301892246e-4,10.063799858093262,56.812164306640625
CC1604004_20161012_105024,5.2,1.607622419079746e-4,10.049296379089355,55.42366409301758
CC1604004_20161012_105024,5.4,0.001900400434221794,10.04214859008789,54.52273178100586
CC1604004_20161012_105024,5.6,0.0023258754185260244,10.039361000061035,52.97214126586914
CC1604004_20161012_105024,5.8,0.0011119842529296875,10.046147346496582,50.43513488769531
CC1604004_20161012_105024,6,0.0015393665858685068,10.047410011291504,49.4586181640625
CC1604004_20161012_105024,6.2,0.0029509408133368,10.048245429992676,48.82839584350586
CC1604004_20161012_105024,6.4,0.0014070783342639004,10.050522804260254,48.30699920654297
CC1604004_20161012_105024,6.6,0.0015054430280407871,10.049367904663086,47.736846923828125
CC1604004_20161012_105024,6.8,0.0019318716866632002,10.049018859863281,47.11210632324219
CC1604004_20161012_105024,7,0.002358300345283837,10.049968719482422,46.68415069580078
CC1604004_20161012_105024,7.2,0.018219947814941406,10.05080795288086,7809.830078125
CC1604004_20161012_105024,7.4,0.14277948651995054,10.184167861938477,35610.17578125
CC1604004_20161012_105024,7.6,0.1609394890921454,10.833942413330078,35093.55859375
CC1604004_20161012_105024,7.8,0.1298403058733264,11.46623420715332,36288.734375
CC1604004_20161012_105024,8,0.15588338034493532,11.897659301757813,35351.59765625
CC1604004_20161012_105024,8.2,0.18980571201869445,12.160734176635742,34973.9140625
CC1604004_20161012_105024,8.4,0.15739331926618227,12.33304500579834,37497.1875
CC1604004_20161012_105024,8.6,0.08064842224121094,12.45300006866455,38153.93359375
CC1604004_20161012_105024,8.8,0.053818838936942726,12.51064682006836,38840.23046875
CC1604004_20161012_105024,9,0.08872440883091492,12.520029067993164,21246.412109375
CC1604004_20161012_105024,9.2,0.17026369912283812,12.519908905029297,19931.994140625
CC1604004_20161012_105024,9.4,0.2350564684186658,12.519437789916992,30073.986328125
CC1604004_20161012_105024,9.6,0.1763703482491632,12.527833938598633,28916.203125
CC1604004_20161012_105024,9.8,0.0763119288853229,12.568737983703613,38310.921875
CC1604004_20161012_105024,10,0.012373924255371094,12.60406494140625,29808.61328125
CC1604004_20161012_105024,10.2,0.0036050251552044443,12.593512535095215,5151.65234375
CC1604004_20161012_105024,10.4,0.035886083330426644,12.562410354614258,13957.5703125
CC1604004_20161012_105024,10.6,0.10494749886649046,12.557830810546875,38085.671875
CC1604004_20161012_105024,10.8,0.1628404344831189,12.575557708740234,38069.6484375
CC1604004_20161012_105024,11,0.243724550519671,12.587833404541016,38113.82421875
CC1604004_20161012_105024,11.2,0.3183649608067096,12.593794822692871,38121.69921875
CC1604004_20161012_105024,11.4,0.3260173797607422,12.609421730041504,38170.9296875
CC1604004_20161012_105024,11.6,0.31659426007952085,12.642719268798828,38179.69921875
CC1604004_20161012_105024,11.8,0.3022406441824774,12.666952133178711,38196.796875
CC1604004_20161012_105024,12,0.22451346261160765,12.684235572814941,38178.8203125
CC1604004_20161012_105024,12.2,0.14875085013253297,12.692923545837402,38169.60546875
CC1604004_20161012_105024,12.4,0.14326831272670226,12.695488929748535,38174.5078125
CC1604004_20161012_105024,12.6,0.18539987291608462,12.695311546325684,38160.9921875
CC1604004_20161012_105024,12.8,0.26726722717285156,12.689435005187988,38155.5625
CC1604004_20161012_105024,13,0.36390985761370054,12.684000015258789,38161.93359375
