% Device,CC1604004
% File name,CC1604004_20161012_105024
% Cast time (UTC),2016-10-12 10:50:24
% Cast time (local),2016-10-12 10:50:24
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,45
% Default altitude,0
% Start latitude,44.7161038
% Start longitude,-66.7288977
% Start altitude,-5.9600000381469727
% Start GPS horizontal error(Meter),4.320000171661377
% Start GPS vertical error(Meter),9.2200002670288086
% Start GPS number of satellites,5
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),87
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-18
% Temperature calibration date,2016-02-16
% Pressure calibration date,2016-01-21
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
30.4,0.18167550223214235,12.704577445983887,38176.5234375
30.6,0.15977260044642883,12.70461368560791,38165.6953125
30.8,0.11750875200544009,12.701244354248047,38165.55078125
31,0.074259757995605469,12.695907592773438,38151.85546875
31.2,0.072714941842216163,12.687854766845703,38144.33203125
31.4,0.098100934709821175,12.673322677612305,38124.5703125
31.6,0.12873881203787718,12.656272888183594,38121.765625
31.8,0.10880620138985719,12.642044067382813,38121.80078125
32,0.014983858380999138,12.642242431640625,38149.140625
32.2,-0.015130179268973976,12.654342651367188,28208.83984375
32.4,-0.0071496963500976562,12.671794891357422,20785.80078125
32.6,0.011665480477470069,12.680491447448731,31315.728515625
32.8,0.045588765825543831,12.682438850402832,36564.140625
33,0.0670351300920764,12.684205055236816,36850.7265625
33.2,0.097343036106654068,12.686955451965332,36481.28125
33.4,0.14374419621058898,12.688239097595215,36996.13671875
33.6,0.19605909075055727,12.687280654907227,38147.8984375
33.8,0.20764827728271484,12.685229301452637,38147.078125
34,0.19494165693010679,12.683584213256836,38169.64453125
34.2,0.20357826777866883,12.691606521606445,38185.34765625
34.4,0.18889658791678343,12.701519966125488,38190.3203125
34.6,0.13809640066964235,12.705875396728516,38182.6640625
34.8,0.098787988935198356,12.706023216247559,38175.71875
35,0.090346200125557274,12.701022148132324,38167.0703125
35.2,0.11376190185546875,12.689470291137695,38150.6796875
35.4,0.15293802533830991,12.678133010864258,38141.078125
35.6,0.19539860316685243,12.6663236618042,38145.3125
35.8,0.15510504586356078,12.660123825073242,38149.49609375
36,0.064896174839564225,12.67070484161377,38175.4296875
36.2,0.045946802411760856,12.679316520690918,38171.68359375
36.4,0.041777474539619774,12.683847427368164,38168.41015625
36.6,0.030381202697753906,12.684903144836426,38160.7109375
36.8,0.048213141305106788,12.682735443115234,38036.80078125
37,0.087719236101422737,12.679664611816406,38154.66015625
37.2,0.15316622597830687,12.678079605102539,38149.6484375
37.4,0.21664387839181032,12.675565719604492,38141.328125
37.6,0.26173087528773742,12.674981117248535,38158.01953125
37.8,0.21519933428083071,12.684898376464844,38204.875
38,0.15947055816650391,12.700498580932617,38182.453125
38.2,0.14052309308733335,12.710219383239746,38181.2578125
38.4,0.10909679957798524,12.703582763671875,38164.62109375
38.6,0.045155933925084213,12.696800231933594,38146.640625
38.8,0.035405703953333756,12.687833786010742,38141.1171875
39,0.059475626264299919,12.678779602050781,38136.2734375
39.2,0.10686193193708071,12.671101570129395,38138.50390625
39.4,0.12567996978759766,12.668991088867188,38139.99609375
39.6,0.084400313241141944,12.668079376220703,38150.484375
39.8,0.017178807939801644,12.671448707580566,38165.5078125
40,0.012679508754185775,12.677678108215332,38163.8125
40.2,0.025254794529505631,12.680164337158203,38160.87109375
40.4,0.023384775434221794,12.683182716369629,38161.76953125
40.6,0.029392106192451806,12.68438720703125,38156.48046875
40.8,0.051494598388671875,12.684736251831055,38161.84375
41,0.0847598484584271,12.685169219970703,38163.67578125
41.2,0.13904121943882508,12.686977386474609,38164.484375
41.4,0.17789213997977171,12.686429023742676,38167.875
41.6,0.15598637717110719,12.690033912658691,38187.3359375
41.8,0.10190173557826476,12.700980186462402,38196.43359375
42,0.090505463736397118,12.709531784057617,38191.2890625
42.2,0.0787820816040039,12.712223052978516,38189.5
42.4,0.0299502781459271,12.709366798400879,38137.0234375
42.6,0.0149443490164618,12.701580047607422,38159.6328125
42.8,0.051821163722447494,12.694219589233398,38150.03125
43,0.1162839617047986,12.690948486328125,38151.703125
43.2,0.16629859379359679,12.686868667602539,38141.3828125
43.4,0.20284734453473696,12.681194305419922,38147.546875
43.6,0.15237236022949219,12.679937362670898,38169.4921875
43.8,0.045418875558036476,12.68509578704834,38167.984375
44,-0.012282099042620231,12.689994812011719,30843.875
44.2,-0.035500117710657975,12.68814754486084,9391.5478515625
44.4,-0.013727596827916244,12.683585166931152,13377.111328125
44.6,0.029391016278948356,12.681477546691895,21306.970703125
44.8,0.057729584830147118,12.679117202758789,32235.89453125
45,0.096906661987304688,12.675728797912598,37969.9140625
45.2,0.14298166547502866,12.66959285736084,38137.19921875
45.4,0.14767674037388368,12.667440414428711,38138.96875
45.6,0.13004248482840453,12.665708541870117,38159.359375
45.8,0.11503464835030641,12.672183990478516,38164.5390625
46,0.12005874088832336,12.685657501220703,38180.00390625
46.2,0.087643487112861962,12.695825576782227,38177.57421875
46.4,0.049981117248535156,12.698749542236328,38182.53515625
46.6,0.055003302437919288,12.698734283447266,38174.2734375
46.8,0.083015714372907112,12.695245742797852,38171.421875
47,0.12219374520438109,12.692515373229981,38172.83203125
47.2,0.14921815054757204,12.689924240112305,38163.8203125
47.4,0.141765322004046,12.688491821289063,38181.3515625
47.6,0.0669897624424518,12.692843437194824,38194.55859375
47.8,0.018157958984375,12.698664665222168,38178.609375
48,0.029419081551688819,12.699501991271973,38181.91015625
48.2,0.033459935869489144,12.702364921569824,38194.8984375
48.4,0.030929974147252182,12.702825546264648,38185.28515625
48.6,0.058616229466029068,12.702059745788574,38157.453125
48.8,0.10403033665248351,12.696968078613281,38178.90625
49,0.15897069658551821,12.695746421813965,38164.81640625
49.2,0.1863250732421875,12.691936492919922,38164.09765625
49.4,0.11319269452776304,12.696737289428711,38204.79296875
49.6,0.026268277849469612,12.705732345581055,33023.94140625
49.8,0.014542988368443588,12.708750724792481,5766.72802734375
50,0.010045596531458756,12.691546440124512,3180.940185546875
50.2,-0.0075915200369696123,12.670864105224609,2484.336669921875
50.4,0.0191067286900104,12.650402069091797,9158.0703125
50.6,0.082914352416992188,12.633425712585449,38176.8359375
50.8,0.15427316938127866,12.635370254516602,38188.3984375
51,0.22431782313755555,12.649892807006836,38181.98828125
51.2,0.2533144269670764,12.663028717041016,38177.0078125
51.4,0.26096684592110719,12.676557540893555,38187.9140625
51.6,0.27255793980189758,12.685087203979492,38195.9140625
51.8,0.27988038744245181,12.690120697021484,38178.421875
52,0.28851699829101562,12.693889617919922,38181.7890625
52.2,0.29584135328020444,12.696869850158691,38185.5078125
52.4,0.30710629054478211,12.696688652038574,38184.6953125
52.6,0.34004156930106078,12.694845199584961,38171.6640625
52.8,0.4015470232282361,12.691827774047852,38195
53,0.47586032322474914,12.688517570495606,38194.453125
53.2,0.66116700853620181,12.688798904418945,38187.88671875
53.4,0.91707420349121094,12.69505786895752,38207.578125
53.6,1.206139700753349,12.702221870422363,38209.75
53.8,1.5237715584891181,12.711771011352539,38205.875
54,1.8154567990984241,12.716817855834961,38207.90625
54.2,2.0766015733991345,12.717142105102539,38213.9609375
54.4,2.3242804663521905,12.718868255615234,38210.703125
54.6,2.589688164847237,12.720586776733398,38213.60546875
54.8,2.8439264297485352,12.721832275390625,38219.125
55,3.1129418781825482,12.722187042236328,38221.28125
55.2,3.3803093773978095,12.724630355834961,38222.640625
55.4,3.6427511487688342,12.727487564086914,38231.1953125
55.6,3.9147105898175916,12.729284286499023,38221.7421875
55.8,4.175177301679339,12.729207038879395,38232.921875
56,4.428747994559151,12.728843688964844,38237.953125
56.2,4.6826438903808594,12.72866153717041,38234.07421875
56.4,4.939822333199638,12.730473518371582,38237.81640625
56.6,5.1969960076468329,12.728741645812988,38250.2578125
56.8,5.4515442167009631,12.727642059326172,38252.4375
57,5.7116723741803845,12.726657867431641,38249.80859375
57.2,5.9717995779854913,12.726341247558594,38254.5
57.4,6.2283142634800495,12.724781036376953,38272.890625
57.6,6.4825286865234375,12.722797393798828,38271.6328125
57.8,6.7272216251918255,12.721015930175781,38272.31640625
58,6.9847147805350165,12.722002983093262,38271.8515625
58.2,7.24352400643485,12.722219467163086,38278.51171875
58.4,7.4977365221296033,12.724554061889648,38278.78125
58.6,7.7476784842354913,12.726966857910156,38286.17578125
58.8,8.0071400233677448,12.726934432983398,38274.5234375
59,8.25872802734375,12.728062629699707,38288.55078125
59.2,8.5178595951625287,12.727849006652832,38285.8203125
59.4,8.7691195351736884,12.728580474853516,38291.1015625
59.6,9.0249685559953967,12.730110168457031,38312.79296875
59.8,9.2683454241071424,12.732920646667481,38299.48046875
60,9.5228840964181085,12.731846809387207,38310.2578125
60.2,9.7718418666294635,12.732172012329102,38308.61328125
60.4,10.025398254394531,12.731783866882324,38317.984375
60.6,10.270747320992607,12.728526115417481,38320.9921875
60.8,10.514456067766462,12.72298526763916,38312.828125
61,10.761117390223912,12.714155197143555,38308.38671875
61.2,11.009420939854213,12.704555511474609,38303.3984375
61.4,11.263637270246234,12.691555023193359,38301.42578125
61.6,11.500454766409737,12.680203437805176,38287.890625
61.8,11.735958099365234,12.672176361083984,38294.28515625
62,11.98033060346331,12.666796684265137,38300.5546875
62.2,12.217806134905134,12.663344383239746,38295.48828125
62.4,12.427050999232701,12.663284301757813,38300.24609375
62.6,12.491829463413783,12.664307594299316,38286.53125
62.8,12.494224275861468,12.664795875549316,38294.00390625
63,12.49301038469587,12.665424346923828,38302.45703125
63.2,12.490810394287109,12.663223266601563,38300.6953125
63.4,12.493207114083427,12.66080379486084,38289.0546875
63.6,12.485752378191267,12.656614303588867,38297.6328125
63.8,12.468450001307897,12.655472755432129,38280.39453125
64,12.394674846104213,12.652931213378906,38285.87109375
64.2,12.260160173688616,12.656991958618164,38304.1953125
64.4,12.110215050833565,12.660501480102539,38303.140625
64.6,11.881141662597656,12.662790298461914,38299.44140625
64.8,11.698363440377372,12.664501190185547,38307.52734375
65,11.539884839739118,12.66279411315918,38298.9765625
65.2,11.361703327723912,12.659150123596191,38304.1328125
65.4,11.200928279331752,12.658924102783203,38303.4140625
